Time,ASS MY LIST,CT ASSIGN,Total Cases
18/10/2025 12:54:40 am,2,0,2
18/10/2025 01:05:42 am,2,0,2
18/10/2025 01:19:29 am,2,0,2
18/10/2025 01:45:54 am,3,0,3
18/10/2025 02:03:32 am,8,0,8
18/10/2025 02:19:29 am,0,0,0
18/10/2025 02:42:22 am,0,0,0
18/10/2025 02:58:01 am,0,0,0
18/10/2025 03:07:03 am,0,0,0
18/10/2025 03:19:18 am,0,0,0
18/10/2025 03:43:05 am,2,0,2
18/10/2025 04:01:32 am,2,0,2
18/10/2025 04:19:21 am,2,0,2
18/10/2025 04:42:42 am,2,0,2
18/10/2025 04:57:27 am,2,0,2
18/10/2025 05:06:44 am,1,0,1
18/10/2025 05:18:52 am,2,0,2
18/10/2025 06:29:28 am,1,0,1
18/10/2025 07:49:53 am,0,0,0
18/10/2025 08:38:48 am,0,0,0
18/10/2025 09:08:23 am,0,0,0
18/10/2025 09:21:03 am,3,0,3
18/10/2025 09:46:15 am,0,0,0
18/10/2025 10:04:53 am,0,0,0
18/10/2025 10:19:21 am,0,0,0
18/10/2025 10:43:33 am,0,0,0
18/10/2025 11:01:48 am,0,0,0
18/10/2025 11:19:06 am,0,0,0
18/10/2025 11:48:58 am,0,0,0
18/10/2025 12:14:50 pm,0,0,0
18/10/2025 12:23:42 pm,0,0,0
18/10/2025 12:42:32 pm,0,0,0
18/10/2025 12:57:00 pm,0,0,0
18/10/2025 01:06:10 pm,0,0,0
18/10/2025 01:19:23 pm,0,0,0
18/10/2025 01:47:04 pm,0,0,0
18/10/2025 02:12:16 pm,0,0,0
18/10/2025 02:21:50 pm,0,0,0
18/10/2025 02:43:25 pm,0,0,0
18/10/2025 02:59:22 pm,2,0,2
18/10/2025 03:09:02 pm,0,0,0
18/10/2025 03:19:20 pm,0,0,0
18/10/2025 03:43:44 pm,0,0,0
18/10/2025 04:02:56 pm,0,0,0
18/10/2025 04:19:01 pm,1,0,1
18/10/2025 04:40:48 pm,1,0,1
18/10/2025 04:54:17 pm,1,0,1
18/10/2025 05:05:45 pm,1,0,1
18/10/2025 05:19:34 pm,0,0,0
18/10/2025 05:54:41 pm,0,0,0
18/10/2025 06:29:00 pm,0,0,0
18/10/2025 06:53:35 pm,0,0,0
18/10/2025 07:08:16 pm,0,0,0
18/10/2025 07:18:46 pm,0,0,0
18/10/2025 07:41:50 pm,0,0,0
18/10/2025 07:59:41 pm,0,0,0
18/10/2025 08:09:56 pm,0,0,0
18/10/2025 08:19:01 pm,0,0,0
18/10/2025 08:42:19 pm,0,0,0
18/10/2025 08:58:02 pm,2,0,2
18/10/2025 09:07:18 pm,2,0,2
18/10/2025 09:19:18 pm,1,0,1
18/10/2025 09:45:33 pm,0,0,0
18/10/2025 10:05:41 pm,0,0,0
18/10/2025 10:19:36 pm,0,0,0
18/10/2025 10:40:53 pm,1,0,1
18/10/2025 10:57:07 pm,1,0,1
18/10/2025 11:06:28 pm,1,0,1
18/10/2025 11:19:22 pm,1,0,1
18/10/2025 11:47:47 pm,1,0,1
19/10/2025 12:13:24 am,2,0,2
19/10/2025 12:21:54 am,3,0,3
19/10/2025 12:40:32 am,3,0,3
19/10/2025 12:52:52 am,3,0,3
19/10/2025 01:05:38 am,2,0,2
19/10/2025 01:19:25 am,0,0,0
19/10/2025 01:44:13 am,1,0,1
19/10/2025 02:00:58 am,1,0,1
19/10/2025 02:11:37 am,1,0,1
19/10/2025 02:19:51 am,1,0,1
19/10/2025 02:41:39 am,1,0,1
19/10/2025 02:56:06 am,1,0,1
19/10/2025 03:05:25 am,1,0,1
19/10/2025 03:18:54 am,1,0,1
19/10/2025 03:42:28 am,3,0,3
19/10/2025 04:00:10 am,3,0,3
19/10/2025 04:10:44 am,3,0,3
19/10/2025 04:19:21 am,3,0,3
19/10/2025 04:42:18 am,3,0,3
19/10/2025 04:57:07 am,3,0,3
19/10/2025 05:06:18 am,0,0,0
19/10/2025 05:19:26 am,0,0,0
19/10/2025 06:39:23 am,0,0,0
19/10/2025 08:23:45 am,0,0,0
19/10/2025 09:13:22 am,0,0,0
19/10/2025 09:32:07 am,0,0,0
19/10/2025 10:05:38 am,0,0,0
19/10/2025 10:20:58 am,0,0,0
19/10/2025 10:43:52 am,0,0,0
19/10/2025 11:02:44 am,0,0,0
19/10/2025 11:19:31 am,0,0,0
19/10/2025 11:50:08 am,0,0,0
19/10/2025 12:15:16 pm,0,0,0
19/10/2025 12:23:39 pm,0,0,0
19/10/2025 12:42:30 pm,0,0,0
19/10/2025 12:56:12 pm,0,0,0
19/10/2025 01:05:05 pm,0,0,0
19/10/2025 01:19:22 pm,0,0,0
19/10/2025 01:46:22 pm,0,0,0
19/10/2025 02:10:41 pm,0,0,0
19/10/2025 02:19:45 pm,0,0,0
19/10/2025 02:43:11 pm,0,0,0
19/10/2025 02:58:33 pm,0,0,0
19/10/2025 03:07:30 pm,0,0,0
19/10/2025 03:19:19 pm,0,0,0
19/10/2025 03:43:43 pm,0,0,0
19/10/2025 04:02:24 pm,0,0,0
19/10/2025 04:19:28 pm,0,0,0
19/10/2025 04:40:48 pm,0,0,0
19/10/2025 04:53:39 pm,0,0,0
19/10/2025 05:05:35 pm,0,0,0
19/10/2025 05:19:38 pm,0,0,0
19/10/2025 05:54:40 pm,0,0,0
19/10/2025 06:28:44 pm,0,0,0
